Time,AfricanRep1,AfricanRep2,AfricanRep3,AsianRep1,AsianRep2,AsianRep3
0,4800,3800,4500,470,280,343.75
4,3350,3350,3250,255,165,205
8,1900,2050,2500,310,280,225
12,1675,1550,1300,175,125,190
16,1550,1650,2300,262.5,145,85
20,6250,12750,10500,987.5,2225,925
24,15750,14750,18500,2250,2450,1300
28,28500,35000,40125,9625,6937.5,5375
32,102500,130000,97500,34875,9000,8937.5
36,102500,272500,345000,87500,36250,19250
40,250000,612500,862500,77500,33750,102500
44,1500000,1300000,1225000,82500,97500,92500
48,8000000,6937500,5250000,725000,325000,325000
52,11125000,12750000,7875000,612500,875000,1587500
56,25500000,21250000,16000000,2550000,1125000,3175000
60,58750000,56125000,25625000,2337500,6350000,6500000
64,71250000,63750000,102500000,7937500,3750000,11250000
68,77500000,66250000,75000000,12250000,15875000,13750000
72,65000000,67500000,152500000,13750000,9000000,21500000
80,77500000,94375000,180000000,11500000,7500000,9312500
90,180000000,107500000,191250000,22500000,26000000,14000000
96,142500000,70000000,140625000,6500000,7312500,5750000
102,85000000,54375000,77187500,7250000,1737500,4000000
120,67500000,56875000,61250000,11000000,9125000,6625000
144,40500000,25250000,61250000,11250000,8250000,3750000
