Time,AfricanLive1,AfricanLive2,AsianLive1,AsianLive2,ControlLive
0,2091,1947,2084,1879,2268
4,1859,2344,2039,2266,1904
8,1953,2308,2273,2168,2493
12,2065,2014,2131,2146,2417
16,1740,2265,1997,1863,2364
20,2133,2174,1659,1712,1890
24,1529,1778,818,679,2103
28,1790,1487,775,743,1813
32,1736,1682,6,981,1219
36,1257,1714,704,655,1232
40,1191,1419,411,387,1580
44,1506,1269,313,228,1318
48,1382,1114,182,206,936
52,1012,934,212,276,1447
56,934,818,114,205,1434
60,1065,1175,483,169,1720
