Time,AfricanRep1,AfricanRep2,AsianRep1,AsianRep2
0,92.5,110,85,122.5
4,175,157.5,195,217.5
8,875,850,13875,7875
12,337500,300000,1075000,1337500
16,4000000,5000000,7000000,5750000
20,13500000,18500000,13250000,11500000
24,52500000,28750000,13750000,12250000
28,122500000,92500000,9375000,9750000
32,100000000,99375000,7500000,7500000
36,202500000,197500000,10000000,8500000
40,187500000,182500000,6950000,11083333.33
44,135000000,45000000,16250000,7000000
48,95000000,62500000,10000000,11500000
52,67500000,47500000,11250000,6000000
56,65000000,117500000,2875000,6000000
60,45000000,80000000,2375000,5625000
